"root","class1","class1OrderLTR","class1OrderLINE","class1OrderSINE","class2"
0.0360572292634864,0.0139062005081672,0.0116019819139466,0.100516625167337,0.115034263852471,0.0755513615441229
-0.130723177365589,-0.0365920082107584,-0.0149043681546177,-0.00207108110553309,0.0459962216393892,-0.166505445751075
-0.0857252090642277,-0.152335718813996,-0.150656889372787,-0.0191138717811695,0.0467636623107136,-0.095664070939912
-0.18608935803907,-0.159815609715752,-0.148918683454698,-0.0145680708935482,0.0277737125071796,-0.1396014183206
-0.21565147934996,-0.199511693826262,-0.212614746456733,-0.0229206039439128,0.024438181867778,-0.181317860098402
-0.217332964917483,-0.210917509663204,-0.214170042712454,-0.00748242294869571,0.018887297051046,-0.184235189455563
-0.192368347991266,-0.203797440882887,-0.205173425419092,-0.0328195598556973,0.0187986668700019,-0.191485146408674
-0.220654053283286,-0.199799500838547,-0.204345292948935,-0.0415600444338636,0.0131328753223592,-0.207965725199107
-0.214339842897633,-0.222838119177828,-0.239353053473369,-0.0441078759867134,0.0130716945642751,-0.212896452153951
-0.220379587218737,-0.217784959938783,-0.219261827208978,-0.0529606264376161,0.00576173755150492,-0.203348358359975
-0.224370200639989,-0.228214950616043,-0.230179770225345,-0.0589536731415629,0.00451351332343336,-0.227859902118093
-0.224899041920163,-0.224212606380809,-0.237558050708282,-0.0569198426090375,0.00449997814980795,-0.233810182174036
-0.224385866996755,-0.225958522894415,-0.242646895755791,-0.0597283040927875,0.00816291498837134,-0.231167791311232
-0.2347759253562,-0.240648998088271,-0.242559015731078,-0.0562883916749969,0.00619096214043654,-0.249515525301744
-0.240575130063862,-0.236193010785628,-0.245516909412209,-0.0595078880434592,0.00924942486553401,-0.248349648673764
-0.239752998995486,-0.236124912951749,-0.260949324905192,-0.0612765429952332,0.00510150394398866,-0.239984288033058
-0.245351826075266,-0.241984289625859,-0.258961792656538,-0.0592730402814734,0.00361164574591445,-0.256857369430005
-0.261432022318685,-0.252453117744464,-0.26502628487406,-0.0539352023635992,0.00231272006837024,-0.258760572289065
-0.257225186825,-0.254590782746676,-0.270609628698724,-0.0642698494823764,0.00283172448154573,-0.266170577012568
-0.26456855443002,-0.252015950499642,-0.264699707406383,-0.0605267668516915,0.00232717208061388,-0.265235834340568
-0.253096707478864,-0.251959639076694,-0.264244472824384,-0.0672094939460367,0.00313912435676426,-0.267036405190645
-0.258473047242705,-0.261865161811701,-0.266153714275361,-0.0662265787537245,0.00161462729996186,-0.26960920841809
-0.26672876451092,-0.2593620234885,-0.275661951504401,-0.0730543182725411,0.00176622511465597,-0.264719106328524
-0.265747838280439,-0.255855908837087,-0.267343919408645,-0.0734433762927014,0.000776013023344901,-0.269998624742648
-0.265426671407857,-0.267493032565892,-0.27519826874305,-0.0715949505173913,0.000552028151299531,-0.270058376211191
-0.267322088601124,-0.258035941163691,-0.272552737133541,-0.0682081142514267,0.00032961226090502,-0.281787421749614
-0.26739309514412,-0.266221269017358,-0.274465793273221,-0.0674203457991734,0.000682344479189478,-0.274309486386458
-0.273903966426819,-0.267331618855297,-0.284478632603009,-0.0726343243668581,0.000196372363597565,-0.280706123342063
-0.271142731443058,-0.263781632996179,-0.286352208846599,-0.074365683492347,2.23132628682371e-05,-0.280129537804648
-0.267565026099999,-0.269929260961422,-0.279071072615138,-0.0764693196257334,-0.00173021018953746,-0.278687716514153
-0.271127672155036,-0.272714295353832,-0.285851908710309,-0.080498977965027,-0.000797822443938487,-0.283075705896723
-0.27355763662144,-0.269749111630864,-0.287058146945173,-0.0791679992726835,-0.00172172379908083,-0.282100683734993
-0.276741250828333,-0.270463261856911,-0.286514656763126,-0.0786078790853055,-0.00212126120341698,-0.27868357719482
-0.274037109604573,-0.273176859430002,-0.281620721202302,-0.0781401179483423,-0.00317587022077764,-0.290396151391672
-0.276461667914575,-0.274412353709477,-0.283187716544509,-0.0746762088419875,-0.00278746248530017,-0.288763530731703
-0.281808442623593,-0.270487325246792,-0.287103290200878,-0.0788713428583049,-0.00442354808196778,-0.291301742317949
-0.28102291432682,-0.278296203307939,-0.286753463102801,-0.0803812359520482,-0.0055786725084605,-0.288585659372109
-0.282051215003724,-0.276988548228239,-0.291953507627972,-0.0822848837763502,-0.00549183464872346,-0.294087480616518
-0.282864198994388,-0.27333403703515,-0.290323587075599,-0.0802297024491957,-0.00435872587413094,-0.292673320130621
-0.284012526592027,-0.281791590866384,-0.293097780490016,-0.0797697120952461,-0.00574004581153621,-0.293361733244048
-0.284168436662201,-0.277652448133067,-0.29291728817959,-0.0787450806751261,-0.00669802285621614,-0.297897710211562
-0.281179694198694,-0.280951097723749,-0.292386488698664,-0.0802446640479059,-0.00685835231978867,-0.292195866306764
-0.287260523996216,-0.276689040589518,-0.293287331644692,-0.0786487892524617,-0.00620759706588941,-0.296522055509835
-0.288435471041666,-0.2802092438153,-0.293422240612085,-0.0803549132315454,-0.00823255635097414,-0.29468088028737
-0.285104228374281,-0.279948124203784,-0.296240412578503,-0.0822216106002457,-0.00737274411534064,-0.300910830091909
-0.28589006774828,-0.281017598664284,-0.294088137351218,-0.0810807848349526,-0.0080396993262923,-0.303055856465729
-0.290555045590997,-0.279696251752628,-0.296325737367387,-0.082812386861674,-0.00790985535307664,-0.299651307337859
-0.290657028250985,-0.282213303830322,-0.295384347958646,-0.0834681479534835,-0.0100372351351702,-0.301652622063469
-0.289801608647355,-0.287205722738756,-0.296298075755391,-0.0813781336716617,-0.0106586466255282,-0.305559569683662
