"root","class1","class1OrderLTR","class1OrderLINE","class1OrderSINE","class2"
0.0360572292635113,0.0139062005081856,0.0116019819139354,0.100516625167329,0.115034263852467,0.075551361544151
-0.130723177365638,-0.0365920082107953,-0.014904368154625,-0.00207108110553269,0.0459962216393903,-0.166505445751105
-0.0857252090641385,-0.152335718814041,-0.150656889372746,-0.0191138717811684,0.0467636623107097,-0.0956640709399286
-0.186089358039112,-0.159815609715822,-0.148918683454735,-0.0145680708935452,0.0277737125071752,-0.139601418320619
-0.215651479349828,-0.199511693826321,-0.212614746456723,-0.022920603943916,0.0244381818677732,-0.181317860098444
-0.217332964917433,-0.210917509663255,-0.214170042712482,-0.00748242294869461,0.0188872970510456,-0.18423518945557
-0.192368347990993,-0.203797440882935,-0.205173425419037,-0.0328195598556949,0.0187986668700041,-0.191485146408695
-0.220654053283272,-0.199799500838441,-0.204345292948889,-0.0415600444338667,0.013132875322361,-0.207965725199141
-0.214339842897488,-0.222838119177942,-0.23935305347346,-0.0441078759867107,0.0130716945642747,-0.212896452154037
-0.220379587218704,-0.217784959938706,-0.219261827208902,-0.0529606264376182,0.00576173755150552,-0.203348358359989
-0.224370200640143,-0.228214950616011,-0.230179770225352,-0.0589536731415659,0.00451351332343304,-0.227859902118178
-0.224899041919927,-0.224212606380865,-0.23755805070838,-0.0569198426090249,0.00449997814980787,-0.233810182174065
-0.224385866996704,-0.225958522894428,-0.242646895755782,-0.0597283040927874,0.00816291498837247,-0.231167791311251
-0.234775925356233,-0.240648998088303,-0.242559015730992,-0.0562883916749968,0.00619096214043599,-0.249515525301778
-0.240575130063841,-0.236193010785645,-0.245516909412165,-0.059507888043458,0.00924942486553175,-0.248349648673799
-0.23975299899531,-0.236124912951677,-0.260949324905212,-0.0612765429952375,0.00510150394399077,-0.239984288033087
-0.245351826075114,-0.241984289625772,-0.258961792656475,-0.059273040281474,0.00361164574591276,-0.256857369430017
-0.261432022318736,-0.252453117744421,-0.26502628487406,-0.0539352023636093,0.00231272006836983,-0.258760572289093
-0.257225186824888,-0.254590782746637,-0.270609628698745,-0.0642698494823745,0.00283172448154884,-0.26617057701249
-0.264568554430085,-0.252015950499693,-0.264699707406367,-0.0605267668516942,0.00232717208061403,-0.265235834340598
-0.253096707478649,-0.25195963907676,-0.264244472824399,-0.0672094939460348,0.00313912435676585,-0.267036405190652
-0.258473047242427,-0.261865161811654,-0.266153714275327,-0.0662265787537257,0.00161462729996143,-0.269609208418075
-0.266728764510748,-0.259362023488561,-0.275661951504456,-0.0730543182725422,0.00176622511465535,-0.264719106328551
-0.265747838280257,-0.255855908836876,-0.267343919408663,-0.073443376292699,0.000776013023343375,-0.269998624742679
-0.265426671407867,-0.267493032565879,-0.275198268743082,-0.0715949505173914,0.000552028151300267,-0.270058376211211
-0.267322088601158,-0.258035941163541,-0.272552737133415,-0.0682081142514319,0.000329612260905277,-0.281787421749618
-0.267393095144321,-0.266221269017288,-0.274465793273151,-0.0674203457991825,0.000682344479189058,-0.274309486386475
-0.27390396642676,-0.267331618855201,-0.284478632603004,-0.0726343243668544,0.000196372363597428,-0.280706123342097
-0.271142731442857,-0.263781632996032,-0.286352208846477,-0.0743656834923486,2.23132628714012e-05,-0.280129537804637
-0.267565026100075,-0.269929260961519,-0.279071072615178,-0.0764693196257342,-0.00173021018953766,-0.278687716514201
-0.271127672154931,-0.272714295353753,-0.28585190871027,-0.080498977965027,-0.000797822443937488,-0.283075705896733
-0.273557636621372,-0.269749111630896,-0.28705814694514,-0.0791679992726829,-0.00172172379908133,-0.28210068373499
-0.276741250828235,-0.270463261856826,-0.286514656763164,-0.0786078790853197,-0.00212126120341476,-0.278683577194836
-0.274037109604331,-0.273176859430081,-0.281620721202279,-0.0781401179483441,-0.00317587022077756,-0.290396151391745
